Well,Sample Name,Target Name,Task,Reporter,Quencher,RQ,RQ Min,RQ Max,Cт,Cт Mean,Cт SD,ΔCт,ΔCт Mean,ΔCт SE,HK Control ΔCт Mean,HK Control ΔCт SE,ΔΔCт,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Efficiency,Tm1,Tm2,Tm3,Comments,AMPNC,HIGHSD,MTP
A1,,glut1,NTC,SYBR,None,,,,30.87031555,30.87031555,,,,,,,,TRUE,0.714682923,TRUE,3,24,1,83.40953827,,,,Y,N,N
A3,,actb,NTC,SYBR,None,,,,29.43068886,29.43068886,,,,,,,,TRUE,1.016441284,TRUE,3,22,1,76.99636841,74.76047516,,,Y,N,Y
A5,,ntc,NTC,SYBR,None,,,,29.91417885,29.91417885,,,,,,,,TRUE,1.556798048,TRUE,3,22,1,70.73596191,,,,Y,N,N
A9,Sample 19,gk,UNKNOWN,SYBR,None,,,,24.32002831,24.09699249,0.315421611,,3.907909393,0.693353236,,,,TRUE,0.531599123,TRUE,3,17,1,70.5847702,,,,N,N,N
A10,Sample 19,gk,UNKNOWN,SYBR,None,,,,23.87395477,24.09699249,0.315421611,,3.907909393,0.693353236,,,,TRUE,0.531599123,TRUE,3,17,1,71.7771759,,,,N,N,N
B1,Sample 13,glut1,UNKNOWN,SYBR,None,,,,21.30443001,22.77116203,3.08123064,,,,,,,TRUE,0.714682923,TRUE,3,14,1,83.26045227,,,,N,Y,N
B2,Sample 13,glut1,UNKNOWN,SYBR,None,,,,19.15318298,22.77116203,3.08123064,,,,,,,TRUE,0.714682923,TRUE,3,12,1,83.26045227,,,,N,Y,N
B3,Sample 13,actb,UNKNOWN,SYBR,None,1,0.008835387,113.1812286,31.47420311,29.55986023,2.707289696,,6.78869772,2.457275629,,,0,TRUE,1.016441284,TRUE,3,24,1,77.7416687,,,,N,Y,N
B4,Sample 13,actb,UNKNOWN,SYBR,None,1,0.008835387,113.1812286,27.64551735,29.55986023,2.707289696,,6.78869772,2.457275629,,,0,TRUE,1.016441284,TRUE,3,20,1,77.89072418,,,,N,Y,N
B9,Sample 20,gk,UNKNOWN,SYBR,None,,,,26.9011879,26.26528168,0.899307191,,6.075323105,0.664559484,,,,TRUE,0.531599123,TRUE,3,20,1,68.94522095,,,,N,Y,N
B10,Sample 20,gk,UNKNOWN,SYBR,None,,,,25.62937546,26.26528168,0.899307191,,6.075323105,0.664559484,,,,TRUE,0.531599123,TRUE,3,18,1,69.39237213,,,,N,Y,N
C1,Sample 16,glut1,UNKNOWN,SYBR,None,,,,20.88378906,22.57977104,2.418385506,,,,,,,TRUE,0.714682923,TRUE,3,14,1,83.26045227,,,,N,Y,N
C2,Sample 16,glut1,UNKNOWN,SYBR,None,,,,20.12944221,22.57977104,2.418385506,,,,,,,TRUE,0.714682923,TRUE,3,12,1,83.40953827,,,,N,Y,N
C3,Sample 16,actb,UNKNOWN,SYBR,None,12.27107239,1.330117822,113.207428,27.13876343,25.75127983,1.0082587,,3.171508312,1.310073853,,,-3.617189407,TRUE,1.016441284,TRUE,3,19,1,77.89072418,,,,N,Y,N
C4,Sample 16,actb,UNKNOWN,SYBR,None,12.27107239,1.330117822,113.207428,25.74321938,25.75127983,1.0082587,,3.171508312,1.310073853,,,-3.617189407,TRUE,1.016441284,TRUE,3,18,1,77.89072418,,,,N,Y,N
C5,Sample 23,glut1,UNKNOWN,SYBR,None,,,,24.20158768,23.94056892,0.369136274,,,,,,,TRUE,0.714682923,TRUE,3,17,1,78.04040527,,,,N,N,N
C6,Sample 23,glut1,UNKNOWN,SYBR,None,,,,23.67955017,23.94056892,0.369136274,,,,,,,TRUE,0.714682923,TRUE,3,16,1,78.04040527,,,,N,N,N
C7,Sample 23,actb,UNKNOWN,SYBR,None,801.6984863,361.2038574,1779.384155,21.14011574,21.08235168,0.081692055,,-2.858218193,0.267334223,,,-9.646915436,TRUE,1.016441284,TRUE,3,13,1,83.40844727,,,,N,N,N
C8,Sample 23,actb,UNKNOWN,SYBR,None,801.6984863,361.2038574,1779.384155,21.02458572,21.08235168,0.081692055,,-2.858218193,0.267334223,,,-9.646915436,TRUE,1.016441284,TRUE,3,13,1,83.40844727,,,,N,N,N
C9,Sample 17,gk,UNKNOWN,SYBR,None,,,,23.76499176,23.72013664,0.063434713,,4.300657272,0.512863874,,,,TRUE,0.531599123,TRUE,3,17,1,69.54141998,,,,N,N,N
C10,Sample 17,gk,UNKNOWN,SYBR,None,,,,23.67528152,23.72013664,0.063434713,,4.300657272,0.512863874,,,,TRUE,0.531599123,TRUE,3,17,1,69.69046783,,,,N,N,N
D1,Sample 14,glut1,UNKNOWN,SYBR,None,,,,20.54998589,19.91861153,0.892898202,,,,,,,TRUE,0.714682923,TRUE,3,14,1,83.26045227,,,,N,Y,N
D2,Sample 14,glut1,UNKNOWN,SYBR,None,,,,19.28723717,19.91861153,0.892898202,,,,,,,TRUE,0.714682923,TRUE,3,12,1,83.26045227,,,,N,Y,N
D3,Sample 14,actb,UNKNOWN,SYBR,None,5.1271348,0.950216591,27.66475868,23.92409134,24.34915543,1.214128613,,4.430544853,0.875877082,,,-2.358152866,TRUE,1.016441284,TRUE,3,15,1,78.33790588,,,,N,Y,N
D4,Sample 14,actb,UNKNOWN,SYBR,None,5.1271348,0.950216591,27.66475868,22.90427971,24.34915543,1.214128613,,4.430544853,0.875877082,,,-2.358152866,TRUE,1.016441284,TRUE,3,13,1,78.18884277,,,,N,Y,N
D5,Sample 24,glut1,UNKNOWN,SYBR,None,,,,24.08947372,23.83108521,0.365415186,,,,,,,TRUE,0.714682923,TRUE,3,16,1,78.04040527,,,,N,N,N
D6,Sample 24,glut1,UNKNOWN,SYBR,None,,,,23.57269859,23.83108521,0.365415186,,,,,,,TRUE,0.714682923,TRUE,3,16,1,78.04040527,,,,N,N,N
D7,Sample 24,actb,UNKNOWN,SYBR,None,436.9584351,150.2975006,1270.36499,22.09599495,21.84843063,0.350107461,,-1.982654572,0.35784319,,,-8.771352768,TRUE,1.016441284,TRUE,3,14,1,83.40844727,,,,N,N,N
D8,Sample 24,actb,UNKNOWN,SYBR,None,436.9584351,150.2975006,1270.36499,21.60086823,21.84843063,0.350107461,,-1.982654572,0.35784319,,,-8.771352768,TRUE,1.016441284,TRUE,3,14,1,83.55755615,,,,N,N,N
E1,Sample 15,glut1,UNKNOWN,SYBR,None,,,,21.31908989,20.9560051,0.513479412,,,,,,,TRUE,0.714682923,TRUE,3,15,1,83.40953827,,,,N,Y,N
E2,Sample 15,glut1,UNKNOWN,SYBR,None,,,,20.5929203,20.9560051,0.513479412,,,,,,,TRUE,0.714682923,TRUE,3,13,1,83.40953827,,,,N,Y,N
E3,Sample 15,actb,UNKNOWN,SYBR,None,12.56614876,3.210600376,49.18335342,24.37163925,24.0932312,0.393727094,,3.137227058,0.457538068,,,-3.651470661,TRUE,1.016441284,TRUE,3,17,1,78.33790588,,,,N,N,N
E4,Sample 15,actb,UNKNOWN,SYBR,None,12.56614876,3.210600376,49.18335342,23.81482506,24.0932312,0.393727094,,3.137227058,0.457538068,,,-3.651470661,TRUE,1.016441284,TRUE,3,16,1,78.33790588,,,,N,N,N
E9,Sample 23,gk,UNKNOWN,SYBR,None,,,,25.5190506,25.35005188,0.238998935,,1.40948391,0.310951829,,,,TRUE,0.531599123,TRUE,3,19,1,69.54141998,,,,N,N,N
E10,Sample 23,gk,UNKNOWN,SYBR,None,,,,25.18105507,25.35005188,0.238998935,,1.40948391,0.310951829,,,,TRUE,0.531599123,TRUE,3,18,1,69.54141998,,,,N,N,N
F1,Sample 19,glut1,UNKNOWN,SYBR,None,,,,20.84558296,20.1890831,0.928432345,,,,,,,TRUE,0.714682923,TRUE,3,14,1,83.40953827,,,,N,Y,N
F2,Sample 19,glut1,UNKNOWN,SYBR,None,,,,19.53258133,20.1890831,0.928432345,,,,,,,TRUE,0.714682923,TRUE,3,12,1,83.40953827,,,,N,Y,N
F3,Sample 19,actb,UNKNOWN,SYBR,None,15.74654579,1.685266852,147.130249,23.36200905,23.00081635,0.51080364,,2.8117342,0.74930203,,,-3.97696352,TRUE,1.016441284,TRUE,3,16,1,78.33790588,,,,N,Y,N
F4,Sample 19,actb,UNKNOWN,SYBR,None,15.74654579,1.685266852,147.130249,22.63962364,23.00081635,0.51080364,,2.8117342,0.74930203,,,-3.97696352,TRUE,1.016441284,TRUE,3,16,1,78.18884277,,,,N,Y,N
F5,Sample 22,glut1,UNKNOWN,SYBR,None,,,,24.32238579,24.15373993,0.238501266,,,,,,,TRUE,0.714682923,TRUE,3,17,1,77.89133453,,,,N,N,N
F6,Sample 22,glut1,UNKNOWN,SYBR,None,,,,23.98509407,24.15373993,0.238501266,,,,,,,TRUE,0.714682923,TRUE,3,17,1,77.74226379,,,,N,N,N
F7,Sample 22,actb,UNKNOWN,SYBR,None,632.8546143,37.30779266,10735.15625,22.57086372,21.63670731,1.321096659,,-2.517032623,0.949257433,,,-9.30573082,TRUE,1.016441284,TRUE,3,15,1,83.40844727,,,,N,Y,N
F8,Sample 22,actb,UNKNOWN,SYBR,None,632.8546143,37.30779266,10735.15625,20.70255089,21.63670731,1.321096659,,-2.517032623,0.949257433,,,-9.30573082,TRUE,1.016441284,TRUE,3,12,1,83.40844727,,,,N,Y,N
F9,Sample 24,gk,UNKNOWN,SYBR,None,,,,26.20587921,25.838871,0.519029319,,2.00778389,0.448842794,,,,TRUE,0.531599123,TRUE,3,19,1,69.54141998,,,,N,Y,N
F10,Sample 24,gk,UNKNOWN,SYBR,None,,,,25.47186089,25.838871,0.519029319,,2.00778389,0.448842794,,,,TRUE,0.531599123,TRUE,3,18,1,70.13761902,,,,N,Y,N
G1,Sample 20,glut1,UNKNOWN,SYBR,None,,,,20.3829937,20.18995857,0.272992879,,,,,,,TRUE,0.714682923,TRUE,3,13,1,83.40953827,,,,N,N,N
G2,Sample 20,glut1,UNKNOWN,SYBR,None,,,,19.99692345,20.18995857,0.272992879,,,,,,,TRUE,0.714682923,TRUE,3,12,1,83.40953827,,,,N,N,N
G3,Sample 20,actb,UNKNOWN,SYBR,None,5.858645439,1.265095115,27.13134193,24.90440369,24.42808914,0.673610508,,4.238130569,0.513943672,,,-2.55056715,TRUE,1.016441284,TRUE,3,15,1,78.18884277,,,,N,Y,N
G4,Sample 20,actb,UNKNOWN,SYBR,None,5.858645439,1.265095115,27.13134193,23.9517746,24.42808914,0.673610508,,4.238130569,0.513943672,,,-2.55056715,TRUE,1.016441284,TRUE,3,17,1,78.18884277,,,,N,Y,N
G5,Sample 13,glut1,UNKNOWN,SYBR,None,,,,25.70957184,22.77116203,3.08123064,,,,,,,TRUE,0.714682923,TRUE,3,17,1,68.94712067,,,,N,Y,N
G6,Sample 13,glut1,UNKNOWN,SYBR,None,,,,24.91746521,22.77116203,3.08123064,,,,,,,TRUE,0.714682923,TRUE,3,17,1,68.49990845,,,,N,Y,N
G7,Sample 14,actb,UNKNOWN,SYBR,None,5.1271348,0.950216591,27.66475868,25.7344799,24.34915543,1.214128613,,4.430544853,0.875877082,,,-2.358152866,TRUE,1.016441284,TRUE,3,18,1,69.98884583,,,,N,Y,N
G8,Sample 14,actb,UNKNOWN,SYBR,None,5.1271348,0.950216591,27.66475868,24.83377457,24.34915543,1.214128613,,4.430544853,0.875877082,,,-2.358152866,TRUE,1.016441284,TRUE,3,17,1,69.09420776,,,,N,Y,N
H1,Sample 17,glut1,UNKNOWN,SYBR,None,,,,18.90858078,19.41947937,0.722519696,,,,,,,TRUE,0.714682923,TRUE,3,11,1,83.26045227,,,,N,Y,N
H2,Sample 17,glut1,UNKNOWN,SYBR,None,,,,19.93037796,19.41947937,0.722519696,,,,,,,TRUE,0.714682923,TRUE,3,13,1,83.1113739,,,,N,Y,N
H3,Sample 17,actb,UNKNOWN,SYBR,None,3.868681192,0.391049862,38.27310944,24.83036804,24.25633621,0.81180495,,4.836855888,0.768460155,,,-1.951841831,TRUE,1.016441284,TRUE,3,17,1,78.48696136,,,,N,Y,N
H4,Sample 17,actb,UNKNOWN,SYBR,None,3.868681192,0.391049862,38.27310944,23.68230247,24.25633621,0.81180495,,4.836855888,0.768460155,,,-1.951841831,TRUE,1.016441284,TRUE,3,15,1,78.33790588,,,,N,Y,N
H5,Sample 16,glut1,UNKNOWN,SYBR,None,,,,24.83913231,22.57977104,2.418385506,,,,,,,TRUE,0.714682923,TRUE,3,18,1,70.43782043,,,,N,Y,N
H6,Sample 16,glut1,UNKNOWN,SYBR,None,,,,24.46672249,22.57977104,2.418385506,,,,,,,TRUE,0.714682923,TRUE,3,17,1,71.18317413,,,,N,Y,N
H7,Sample 16,actb,UNKNOWN,SYBR,None,12.27107239,1.330117822,113.207428,25.35582733,25.75127983,1.0082587,,3.171508312,1.310073853,,,-3.617189407,TRUE,1.016441284,TRUE,3,17,1,71.33081055,,,,N,Y,N
H8,Sample 16,actb,UNKNOWN,SYBR,None,12.27107239,1.330117822,113.207428,24.76730919,25.75127983,1.0082587,,3.171508312,1.310073853,,,-3.617189407,TRUE,1.016441284,TRUE,3,17,1,70.73438263,,,,N,Y,N
H9,Sample 22,gk,UNKNOWN,SYBR,None,,,,24.91301155,24.54668045,0.518069088,,0.392941475,0.403285503,,,,TRUE,0.531599123,TRUE,3,18,1,70.88287354,,,,N,Y,N
H10,Sample 22,gk,UNKNOWN,SYBR,None,,,,24.18035126,24.54668045,0.518069088,,0.392941475,0.403285503,,,,TRUE,0.531599123,TRUE,3,17,1,71.7771759,,,,N,Y,N
